product_id,product_name,category,subcategory,brand,price,cost,stock_quantity,reorder_level,supplier_id,weight_kg,dimensions,color,material,warranty_months,rating_avg,review_count,is_bestseller,launch_date
1,LED Light Bulbs,Fashion,Footwear,Apple,502.99,312.23,508,78,9,33.66,28x25x31cm,White,Wood,24,4.5,695,True,2025-03-04
2,Wireless Earbuds,Books & Media,Fiction,Sony,2012.19,1234.17,374,14,1,47.86,36x40x23cm,Blue,Metal,12,4.4,831,True,2024-05-05
3,Smart Thermostat,Electronics,Laptops,Garmin,1931.64,1249.5,174,36,1,30.94,29x22x32cm,Red,Leather,12,3.3,10,True,2024-11-18
4,Casual Blazer,Sports & Outdoors,Team Sports,Adidas,950.67,725.23,115,54,13,34.59,46x47x13cm,Blue,Leather,12,2.7,704,True,2024-11-13
5,Robot Vacuum,Books & Media,Educational,Microsoft,878.0,622.73,976,16,17,8.3,8x33x27cm,Gold,Wood,6,2.5,319,False,2024-10-21
6,Smart Speaker,Beauty & Health,Hair Care,Nikon,156.92,106.61,282,59,2,5.63,41x50x46cm,Green,Ceramic,6,3.0,632,False,2024-10-11
7,Running Shoes,Beauty & Health,Skincare,Nike,2662.96,1638.68,546,37,10,35.2,17x31x32cm,Gold,Fabric,12,3.3,514,False,2023-11-12
8,Backpack,Fashion,Accessories,Panasonic,1879.1,1435.79,549,40,11,16.69,17x43x42cm,Silver,Metal,12,3.5,602,True,2023-03-10
9,LED Light Bulbs,Electronics,Smart Home,Garmin,1070.48,665.26,410,89,6,19.63,33x13x19cm,Red,Ceramic,6,3.3,985,True,2023-12-17
10,Backpack,Sports & Outdoors,Team Sports,Sony,1588.77,1264.86,39,19,18,16.28,5x12x50cm,Gray,Wood,6,3.7,222,True,2024-11-21
11,Coffee Maker,Beauty & Health,Supplements,Fitbit,1265.39,839.31,794,49,3,15.04,48x29x12cm,Gray,Glass,36,4.9,886,True,2022-10-28
12,Smart Thermostat,Fashion,Bags,Canon,972.2,667.92,705,95,16,24.73,20x27x24cm,Silver,Metal,12,4.0,400,True,2025-03-31
13,Gaming Laptop,Electronics,Tablets,Dell,721.17,507.4,298,44,10,1.46,16x24x40cm,Silver,Metal,6,5.0,722,False,2025-02-05
14,Cotton T-Shirt,Books & Media,Educational,Microsoft,1076.56,698.47,78,95,10,31.14,7x50x39cm,Green,Wood,36,4.2,449,False,2024-10-16
15,Running Shoes,Electronics,Smart Home,Acer,1322.96,982.93,247,97,18,26.43,38x32x31cm,Blue,Glass,6,3.9,629,True,2024-12-21
16,Tablet Pro,Electronics,Gaming,Garmin,2567.61,1655.87,204,28,11,29.88,7x40x18cm,White,Ceramic,24,2.6,479,False,2022-08-08
17,Gaming Laptop,Beauty & Health,Skincare,Sony,1948.49,1557.93,159,71,14,3.72,42x31x18cm,Black,Plastic,36,2.9,99,False,2022-08-07
18,Tablet Pro,Beauty & Health,Skincare,Dell,1987.81,1570.42,449,79,16,13.15,31x47x38cm,Green,Metal,36,3.7,154,True,2023-11-16
19,Pro Max Smartphone,Electronics,Smartphones,Apple,810.76,570.44,139,82,3,31.6,43x18x40cm,Gold,Glass,6,3.2,282,True,2022-08-06
20,Smart Thermostat,Books & Media,Fiction,Nikon,504.04,331.16,870,49,2,49.39,20x21x50cm,Black,Ceramic,24,4.1,568,False,2025-02-09
21,Pro Max Smartphone,Sports & Outdoors,Exercise,Acer,496.28,307.62,175,64,13,1.53,34x20x30cm,Silver,Ceramic,24,3.3,266,False,2023-06-02
22,Running Shoes,Home & Garden,Cleaning,Microsoft,2162.59,1560.38,369,16,11,45.06,36x10x12cm,White,Glass,6,3.2,573,True,2024-01-23
23,Casual Blazer,Home & Garden,Tools,LG,1822.72,1265.34,196,40,8,4.54,39x31x17cm,Blue,Leather,24,3.4,326,True,2024-05-26
24,Premium Sneakers,Beauty & Health,Supplements,Fitbit,306.97,243.21,571,99,16,33.41,5x26x50cm,Black,Wood,12,4.2,13,True,2024-08-14
25,Wireless Mouse,Sports & Outdoors,Outdoor Recreation,Corsair,2171.88,1599.79,52,17,16,20.66,42x22x49cm,Green,Plastic,24,3.0,58,False,2022-12-30
26,Wireless Earbuds,Beauty & Health,Skincare,Canon,552.51,386.15,258,43,18,47.17,15x28x21cm,Silver,Wood,24,4.3,558,True,2023-10-07
27,4K Monitor,Sports & Outdoors,Outdoor Recreation,Amazon,2920.04,1810.52,624,57,3,37.14,39x45x32cm,Green,Fabric,12,4.5,801,True,2023-05-04
28,Smart Thermostat,Fashion,Footwear,Dell,122.76,92.63,147,100,13,17.58,31x22x41cm,White,Ceramic,24,3.3,900,False,2024-05-18
29,Wireless Mouse,Electronics,Laptops,JBL,729.65,455.74,623,95,9,40.24,13x24x19cm,Blue,Glass,6,5.0,981,True,2025-03-12
30,4K Monitor,Sports & Outdoors,Winter Sports,Dell,2277.01,1614.26,268,24,10,19.52,24x46x31cm,Blue,Leather,36,4.5,293,False,2023-07-14
31,Robot Vacuum,Sports & Outdoors,Exercise,Lenovo,2672.4,2048.04,846,12,1,26.41,36x38x40cm,Red,Metal,12,3.1,96,False,2024-08-15
32,Sports Watch,Fashion,Bags,Google,2540.68,1603.2,151,14,12,42.84,27x19x23cm,Red,Ceramic,36,3.0,98,False,2025-01-09
33,Running Shoes,Electronics,Smartphones,Canon,1645.23,1229.66,807,49,15,9.37,48x14x7cm,Silver,Glass,24,4.9,524,True,2024-03-31
34,Smart Speaker,Sports & Outdoors,Winter Sports,Nikon,511.69,311.19,985,11,17,4.02,18x16x21cm,Red,Glass,12,2.6,453,False,2022-08-05
35,Tablet Pro,Sports & Outdoors,Team Sports,Apple,2050.1,1232.43,742,91,4,33.57,41x35x9cm,White,Plastic,36,3.9,74,True,2023-11-12
36,Backpack,Home & Garden,Tools,Logitech,1958.85,1386.55,20,37,3,30.05,11x25x12cm,Black,Ceramic,12,3.3,841,True,2025-04-28
37,4K Monitor,Sports & Outdoors,Winter Sports,Acer,172.94,110.39,124,15,13,8.36,21x8x14cm,Blue,Glass,6,3.2,613,False,2022-07-27
38,Security Camera,Fashion,Bags,Sony,1845.07,1278.75,318,57,19,38.08,49x20x40cm,Black,Leather,36,4.2,566,False,2023-05-17
39,LED Light Bulbs,Fashion,Footwear,Bose,933.83,684.6,849,54,11,24.68,30x22x33cm,White,Leather,24,4.7,440,True,2023-12-09
40,Coffee Maker,Beauty & Health,Makeup,Acer,31.07,24.32,964,62,2,2.48,40x45x28cm,Blue,Metal,6,4.3,639,False,2025-01-14
41,Leather Jacket,Home & Garden,Cleaning,Canon,911.94,602.62,332,67,15,21.26,36x14x12cm,Blue,Plastic,36,3.5,549,False,2024-01-25
42,Casual Blazer,Sports & Outdoors,Team Sports,Logitech,1379.68,1025.33,44,19,17,14.3,47x23x14cm,Gray,Leather,24,3.5,581,False,2022-07-02
43,Mechanical Keyboard,Home & Garden,Decor,Sony,1094.19,866.46,201,10,12,33.35,18x45x36cm,Blue,Plastic,12,3.0,544,False,2023-01-19
44,Smart Watch,Sports & Outdoors,Exercise,Microsoft,722.01,501.6,874,48,7,4.11,8x24x49cm,White,Fabric,24,2.8,899,True,2023-01-12
45,Air Purifier,Electronics,Gaming,ASUS,279.91,188.68,138,87,11,45.94,33x19x21cm,Red,Wood,12,2.7,559,False,2023-04-03
46,Casual Blazer,Electronics,Laptops,Bose,430.51,268.99,960,13,6,37.67,5x42x45cm,Black,Wood,12,4.5,337,True,2024-06-22
47,Gaming Laptop,Sports & Outdoors,Exercise,LG,2888.33,2208.89,350,35,14,27.63,24x16x33cm,Silver,Glass,36,4.2,393,True,2024-09-20
48,Tablet Pro,Fashion,Accessories,Logitech,1065.7,699.9,471,93,11,35.71,31x5x43cm,White,Glass,12,4.3,898,False,2023-05-19
49,Wireless Mouse,Sports & Outdoors,Exercise,HP,2970.1,2361.55,423,80,10,41.13,30x38x9cm,Red,Wood,24,2.5,314,True,2023-11-11
50,Wireless Earbuds,Beauty & Health,Makeup,Dell,2443.77,1891.66,78,28,15,47.67,8x48x27cm,Gray,Leather,12,3.2,772,False,2023-04-06
51,Sports Watch,Home & Garden,Tools,Acer,689.03,446.47,463,20,20,11.67,48x13x40cm,Green,Metal,12,2.5,373,True,2022-10-16
52,Gaming Laptop,Beauty & Health,Medical,Apple,1773.96,1288.32,488,94,4,36.08,11x7x41cm,White,Plastic,12,4.1,586,False,2024-01-10
53,Security Camera,Sports & Outdoors,Team Sports,Bose,1379.47,1008.78,161,67,5,1.48,47x48x17cm,Silver,Fabric,6,3.1,129,True,2023-05-10
54,Casual Blazer,Home & Garden,Furniture,Bose,784.82,480.75,770,85,6,38.88,8x35x12cm,Gold,Metal,24,3.2,581,False,2025-03-01
55,Air Purifier,Fashion,Clothing,Nike,2289.71,1387.19,682,87,9,0.98,12x43x5cm,Green,Wood,12,2.9,905,False,2023-12-06
56,Wireless Earbuds,Fashion,Bags,Acer,332.8,214.32,326,91,19,48.83,18x41x35cm,Red,Glass,24,2.8,181,False,2024-06-22
57,Smart Thermostat,Fashion,Jewelry,JBL,1462.91,912.24,109,16,12,1.0,12x34x42cm,Red,Glass,24,3.0,83,True,2023-09-12
58,Gaming Laptop,Home & Garden,Tools,JBL,1958.83,1247.93,146,32,13,1.59,43x19x21cm,Gold,Fabric,12,3.5,772,True,2024-12-09
59,Pro Max Smartphone,Sports & Outdoors,Winter Sports,ASUS,2959.1,1913.6,427,59,14,5.24,41x26x42cm,Gold,Ceramic,12,4.6,159,False,2023-02-15
60,LED Light Bulbs,Beauty & Health,Skincare,Microsoft,2826.58,1892.08,138,41,5,26.19,13x31x27cm,Gold,Wood,36,4.0,799,False,2024-04-02
61,LED Light Bulbs,Fashion,Clothing,Nike,2685.46,1829.49,537,69,13,44.58,5x43x29cm,Blue,Ceramic,36,3.3,478,False,2025-04-15
62,Smart Thermostat,Books & Media,Comics,Sony,2051.17,1471.52,388,27,4,24.3,19x16x9cm,Blue,Glass,6,3.9,957,False,2024-06-23
63,Wireless Earbuds,Home & Garden,Decor,Microsoft,174.45,137.85,21,92,14,32.62,48x40x12cm,Gray,Fabric,24,4.2,61,True,2022-12-17
64,LED Light Bulbs,Fashion,Jewelry,Fitbit,2861.28,1965.51,922,31,4,33.8,40x38x21cm,Black,Ceramic,12,2.8,865,False,2025-04-15
65,Sports Watch,Home & Garden,Cleaning,Lenovo,1064.72,795.05,790,45,10,3.11,43x35x24cm,Gray,Wood,6,3.0,102,False,2024-07-10
66,Backpack,Fashion,Bags,Google,181.76,133.14,765,52,18,24.61,40x44x36cm,Gray,Glass,12,3.7,809,True,2023-07-21
67,Air Purifier,Books & Media,Educational,LG,2900.51,1752.51,74,79,8,47.38,49x9x8cm,Silver,Metal,6,4.6,648,True,2025-05-03
68,Gaming Laptop,Books & Media,Movies,Apple,2470.07,1722.32,784,79,4,22.0,22x26x33cm,Silver,Fabric,12,2.7,846,False,2024-12-17
69,Wireless Mouse,Books & Media,Non-fiction,Logitech,1603.39,1191.05,499,19,5,30.94,15x47x40cm,Gray,Plastic,12,3.1,120,True,2023-06-02
70,4K Monitor,Books & Media,Non-fiction,LG,1955.58,1353.53,506,61,1,23.89,10x18x50cm,Blue,Metal,36,4.0,701,False,2023-07-17
71,Smart Watch,Home & Garden,Cleaning,Bose,780.0,591.34,195,48,10,21.81,16x43x35cm,White,Ceramic,36,3.9,780,True,2023-06-09
72,Sports Watch,Sports & Outdoors,Team Sports,Amazon,682.12,463.97,892,47,11,29.01,44x46x29cm,Blue,Plastic,12,3.5,88,False,2024-03-13
73,Robot Vacuum,Books & Media,Music,Canon,2015.57,1365.27,193,67,6,40.56,12x31x12cm,Gold,Fabric,6,4.4,962,True,2022-09-13
74,4K Monitor,Sports & Outdoors,Exercise,Nike,1745.32,1075.81,838,50,18,7.58,40x12x29cm,White,Fabric,24,2.6,54,False,2024-03-22
75,Smart Thermostat,Beauty & Health,Hair Care,Google,1053.02,650.02,319,76,19,24.15,14x28x15cm,Red,Plastic,12,3.7,225,False,2023-10-09
76,Designer Jeans,Home & Garden,Kitchen,Logitech,1412.12,917.57,773,27,16,21.49,47x17x23cm,Green,Fabric,12,3.6,174,True,2025-02-03
77,Coffee Maker,Fashion,Bags,LG,2547.16,1936.15,526,19,7,11.92,10x37x6cm,Blue,Metal,12,4.6,138,True,2024-08-23
78,Smart Speaker,Electronics,Gaming,Canon,2710.38,1984.07,1000,23,17,0.68,17x11x38cm,Black,Metal,24,4.8,634,False,2022-12-11
79,Pro Max Smartphone,Electronics,Smart Home,LG,2739.46,1961.78,607,39,8,22.45,14x29x18cm,Red,Leather,24,5.0,701,True,2023-04-11
80,LED Light Bulbs,Beauty & Health,Makeup,Nikon,184.27,144.7,544,38,19,2.48,6x50x20cm,Black,Fabric,12,4.7,662,True,2024-10-26
81,Premium Sneakers,Books & Media,Music,Microsoft,2233.91,1458.6,783,45,17,12.34,28x50x30cm,Black,Ceramic,6,4.7,594,False,2023-11-06
82,Wireless Earbuds,Books & Media,Music,HP,2466.3,1694.62,230,69,18,16.03,36x6x45cm,White,Ceramic,24,3.4,233,False,2024-07-07
83,LED Light Bulbs,Home & Garden,Security,Amazon,2410.75,1910.13,445,20,1,32.01,50x9x31cm,Blue,Wood,36,4.8,688,True,2023-11-15
84,Coffee Maker,Sports & Outdoors,Winter Sports,HP,2791.79,1872.35,865,14,7,0.27,21x20x20cm,Silver,Plastic,6,3.8,338,False,2023-03-14
85,Designer Jeans,Home & Garden,Tools,Dell,1707.04,1286.74,266,35,4,49.65,50x32x16cm,Green,Metal,6,5.0,693,False,2022-11-01
86,Cotton T-Shirt,Fashion,Footwear,Nike,387.55,277.2,284,42,9,1.26,28x38x37cm,Green,Ceramic,6,3.7,220,True,2024-02-25
87,Running Shoes,Beauty & Health,Skincare,Google,1084.37,822.56,87,97,18,37.57,15x19x24cm,Red,Metal,12,4.7,189,False,2023-02-01
88,Security Camera,Electronics,Smartphones,Fitbit,1158.03,810.88,21,39,11,19.69,34x25x5cm,Gold,Fabric,36,3.2,647,True,2024-09-16
89,Wireless Earbuds,Home & Garden,Decor,Fitbit,2602.13,1572.74,296,34,19,1.9,8x42x22cm,Gold,Wood,6,2.7,832,True,2024-04-13
90,Robot Vacuum,Fashion,Clothing,Corsair,2906.31,1758.09,469,72,13,13.59,7x35x6cm,Gray,Wood,12,3.9,531,True,2025-04-03
91,Tablet Pro,Electronics,Tablets,Dell,2150.66,1312.78,374,18,7,47.67,32x23x32cm,Black,Glass,6,4.7,857,True,2025-01-10
92,Backpack,Beauty & Health,Medical,Logitech,1970.97,1331.09,846,94,3,2.12,30x26x49cm,Blue,Leather,24,3.4,791,True,2023-06-18
93,Smart Speaker,Fashion,Accessories,Amazon,2215.56,1705.81,718,60,5,14.18,25x22x17cm,Red,Metal,24,4.8,749,False,2022-11-24
94,Wireless Earbuds,Electronics,Laptops,Garmin,1526.38,916.07,640,99,14,32.13,34x9x39cm,Gold,Glass,6,3.7,249,False,2023-09-09
95,4K Monitor,Electronics,Audio,Google,992.28,672.07,949,18,11,11.16,11x42x11cm,Green,Leather,36,4.6,455,True,2024-08-06
96,Smart Watch,Beauty & Health,Supplements,Bose,2765.87,2063.08,804,92,19,4.05,33x6x33cm,Gold,Plastic,12,3.6,540,True,2023-02-17
97,Smart Watch,Beauty & Health,Supplements,Sony,415.94,259.25,60,56,14,34.26,20x42x17cm,Gold,Leather,24,2.5,417,False,2023-01-29
